,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
259,Combat Elite: WWII Paratroopers,PS2,2005.0,Shooter,SouthPeak Interactive,0.03,0.02,0.0,0.01,0.06,54.0,12.0,tbd,,BattleBorne,T
260,Flip's Twisted World,Wii,2010.0,Platform,Majesco Entertainment,0.05,0.0,0.0,0.0,0.06,47.0,7.0,tbd,,"Majesco Games, Majesco",E
261,Mobile Ops: The One Year War,X360,,Simulation,Namco Bandai Games,0.0,0.0,0.06,0.0,0.06,,,,,"Dimps Corporation, Dream Execution",
262,Pheasants Forever Wingshooter,Wii,2010.0,Shooter,,0.03,0.02,0.0,0.0,0.06,,,tbd,,High Voltage Software,T
263,Tom Clancy's Rainbow Six: Critical Hour,XB,2006.0,Shooter,,0.04,0.01,0.0,0.0,0.06,54.0,10.0,3.6,14.0,Ubisoft Quebec,M
264,Jewel Link Chronicles: Mountains of Madness,DS,,Puzzle,Avanquest,0.0,0.05,0.0,0.01,0.05,,,tbd,,Avanquest Software,E10+
265,Captain America: Super Soldier,Wii,2011.0,Action,Sega,0.05,0.0,0.0,0.0,0.05,57.0,16.0,6,6.0,High Voltage Software,T
266,Mountain Bike Adrenaline,PS2,2007.0,Sports,Nobilis,0.03,0.02,0.0,0.01,0.05,,,tbd,,Fresh 3D,E
267,Drill Dozer,GBA,2005.0,Platform,,0.04,0.01,0.0,0.0,0.05,81.0,34.0,8.3,10.0,Game Freak,E
268,Samantha Swift and the Hidden Roses of Athena,DS,2010.0,Adventure,MumboJumbo,0.04,0.01,0.0,0.0,0.05,,,tbd,,Navarre Corp,E
269,Captain America: Super Soldier,DS,2011.0,Action,Sega,0.05,0.0,0.0,0.0,0.05,,,,,,
270,GRID,DS,2022.0,Racing,Codemasters,0.04,0.0,0.0,0.0,0.05,79.0,19.0,8.1,15.0,Firebrand Games,E
271,Metal Max 2 Reloaded,DS,2011.0,Role-Playing,,0.0,0.0,0.05,0.0,0.05,,,,,,
272,Tour de France 2011,X360,2011.0,Racing,Focus Home Interactive,0.0,0.04,0.0,0.01,0.05,46.0,7.0,7.6,5.0,Cyanide,
273,Reader Rabbit 2nd Grade,Wii,1998.0,Misc,,0.04,0.0,0.0,0.0,0.05,,,tbd,,Graffiti Entertainment,E
274,Monster Hunter Frontier Online,PS3,2007.0,Role-Playing,Capcom,0.0,0.0,0.05,0.0,0.05,,,,,,
275,The Lost Treasures of Alexandria,DS,2011.0,Puzzle,,0.0,0.04,0.0,0.01,0.05,,,,,,
276,Max & the Magic Marker,DS,2011.0,Platform,,0.0,0.04,0.0,0.0,0.05,,,,,,
277,Guilty Gear XX Accent Core,PS2,2007.0,Fighting,Aksys Games,0.0,0.0,0.04,0.0,0.04,77.0,9.0,8.3,16.0,Arc System Works,T
278,RollerCoaster Tycoon,PC,2014.0,Strategy,Microprose,0.02,0.02,0.0,0.01,0.04,,,,,Chris Sawyer,E
279,Battle vs. Chess,PS3,2007.0,Misc,TopWare Interactive,0.0,0.03,0.0,0.01,0.04,,,,,"Targem Games, TopWare Interactive",T
280,Kids Learn Music A+ Edition,DS,2011.0,Misc,,0.04,0.0,0.0,0.0,0.04,,,,,,
281,The History Channel: Great Battles - Medieval,PS3,,Strategy,Slitherine Software,0.0,0.03,0.0,0.01,0.04,,,,,,
282,Clockwork Empires,PC,2016.0,Strategy,Gaslamp Games,0.0,0.04,0.0,0.0,0.04,58.0,7.0,3.8,5.0,Gaslamp Games,RP
283,B.L.U.E.: Legend of Water,PS,,Adventure,,0.0,0.0,0.04,0.0,0.04,,,,,,
284,Test Drive: Ferrari Legends,PS3,2012.0,Racing,,0.04,0.0,0.0,0.01,0.04,62.0,19.0,4.9,22.0,"Atari, Slightly Mad Studios, Atari SA",E
285,GRID,PC,2022.0,Racing,Codemasters,0.0,0.03,0.0,0.01,0.04,87.0,25.0,7.9,463.0,Codemasters,E
286,NHL Hitz Pro,GC,2003.0,Sports,Midway Games,0.03,0.01,0.0,0.0,0.04,81.0,15.0,7.8,5.0,Next Level Games,E
287,North American Hunting Extravaganza 2,Wii,2010.0,Sports,,0.03,0.0,0.0,0.0,0.04,,,,,,
288,Men of War: Vietnam,PC,2011.0,Strategy,,0.0,0.03,0.0,0.01,0.04,68.0,19.0,4.9,35.0,Best Way,T
289,Gummy Bears Mini Golf,Wii,2010.0,Sports,Storm City Games,0.04,0.0,0.0,0.0,0.04,,,,,,
290,Time Travelers,3DS,2012.0,Adventure,LEVEL-5,0.0,0.0,0.04,0.0,0.04,,,,,,
291,Luxor: Pharaoh's Challenge,Wii,,Puzzle,Funsta,0.01,0.02,0.0,0.0,0.04,,,tbd,,MumboJumbo,E
292,Jewel Quest Mysteries 2: Trail of the Midnight Heart,DS,2011.0,Puzzle,,0.0,0.03,0.0,0.0,0.04,,,,,,
293,Sega Rally 2006,PS2,2006.0,Racing,Sega,0.0,0.0,0.04,0.0,0.04,,,,,,
294,Train Simulator 2016,PC,2015.0,Simulation,Dovetail Games,0.0,0.04,0.0,0.0,0.04,,,4,8.0,Dovetail Games,E
295,Worms: Ultimate Mayhem,PC,2011.0,Strategy,,0.0,0.03,0.0,0.0,0.04,66.0,4.0,7.8,48.0,Team 17,E10+
296,Jane's Hotel,DS,2010.0,Simulation,,0.03,0.0,0.0,0.0,0.04,,,tbd,,Zoo Games,E
297,Half-Minute Hero 2,PSP,,Role-Playing,Rising Star Games,0.0,0.0,0.04,0.0,0.04,,,,,,
298,Housekeeping,DS,2017.0,Action,,0.0,0.0,0.04,0.0,0.04,,,,,,
299,Major League Baseball 2K8,PSP,2008.0,Sports,2K Sports,0.03,0.0,0.0,0.0,0.03,63.0,5.0,tbd,,Kush Games,E
300,Gekiatsu!! Pachi Game Tamashi: CR Evangelion - Hajimari no Fukuin,PS3,2010.0,Misc,,0.0,0.0,0.03,0.0,0.03,,,,,,
301,Sabre Wulf,GBA,1984.0,Platform,THQ,0.02,0.01,0.0,0.0,0.03,75.0,27.0,8,4.0,Rare Ltd.,E
302,Swords,Wii,2014.0,Fighting,,0.03,0.0,0.0,0.0,0.03,,,tbd,,Panic Button,T
303,Junior Island Adventure,DS,2011.0,Puzzle,,0.03,0.0,0.0,0.0,0.03,,,tbd,,"CyberPlanet Interactive Public Co., Ltd., Maximum Family Games",E
304,Beyond the Labyrinth,3DS,2012.0,Role-Playing,Konami,0.0,0.0,0.03,0.0,0.03,,,,,,
305,Clash of Elementalists,3DS,2013.0,Action,Teyon,0.0,0.03,0.0,0.0,0.03,,,,,,
306,Bikkuriman Daijiten,DS,,Misc,,0.0,0.0,0.03,0.0,0.03,,,,,,
307,Majesty 2: The Fantasy Kingdom Sim,X360,2009.0,Simulation,Paradox Interactive,0.03,0.0,0.0,0.0,0.03,,,,,"1C, Ino-Co, 1C Company",
308,The Binding of Isaac,PC,2012.0,Action,Edmund McMillen,0.0,0.03,0.0,0.0,0.03,84.0,30.0,8.3,1010.0,"Edmund McMillen, Florian Himsl",
309,Beastly,Wii,2011.0,Misc,,0.03,0.0,0.0,0.0,0.03,,,tbd,,Visual Impact,E10+
310,Fullmetal Alchemist: Brotherhood,PSP,2010.0,Action,Bandai Namco Entertainment,0.0,0.0,0.03,0.0,0.03,,,,,,
311,Super Meat Boy: Ultra Edition!,PC,2011.0,Platform,,0.0,0.02,0.0,0.01,0.03,,,,,,
312,The Golf Club,XOne,2014.0,Sports,HB Studios,0.03,0.0,0.0,0.0,0.03,64.0,15.0,5.4,59.0,HB Studios Multimedia,E
313,Max & the Magic Marker,Wii,2011.0,Platform,,0.0,0.03,0.0,0.0,0.03,,,,,,
314,Ao no Kanata no Four Rhythm,PSV,2016.0,Adventure,sprite,0.0,0.0,0.03,0.0,0.03,,,,,,
315,Take On Helicopters,PC,2011.0,Simulation,,0.0,0.02,0.0,0.01,0.03,70.0,10.0,6.7,28.0,Bohemia Interactive,T
316,Combat Elite: WWII Paratroopers,XB,2005.0,Shooter,SouthPeak Interactive,0.02,0.01,0.0,0.0,0.03,56.0,11.0,tbd,,BattleBorne,T
317,Samurai Spirits: Tenkaichi Kenkakuden,PS2,,Fighting,,0.0,0.0,0.03,0.0,0.03,,,,,,
318,Gekiatsu!! Pachi Game Tamashi Vol. 1: CR Evangelion - Shinjitsu no Tsubasa,PSP,2011.0,Misc,,0.0,0.0,0.03,0.0,0.03,,,,,,
319,World of Tanks,X360,,Shooter,,0.0,0.03,0.0,0.0,0.03,,,5.2,9.0,Microsoft Game Studios,
320,Gekiatsu!! Pachi Game Tamashi Vol. 2: CR Evangelion - Shinjitsu no Tsubasa,PS3,2011.0,Misc,,0.0,0.0,0.03,0.0,0.03,,,,,,
321,LEGO Legends of Chima: Laval's Journey,DS,2013.0,Adventure,WB Games,0.0,0.03,0.0,0.0,0.03,,,tbd,,TT Games,E10+
322,Battle vs. Chess,PC,2007.0,Misc,TopWare Interactive,0.0,0.02,0.0,0.0,0.03,69.0,5.0,5.9,12.0,Targem Games,T
323,Tom and Jerry in War of the Whiskers,XB,2002.0,Fighting,NewKidCo,0.02,0.01,0.0,0.0,0.03,,,,,,
324,Super Duper Sumos,GBA,2003.0,Action,,0.02,0.01,0.0,0.0,0.03,57.0,5.0,tbd,,Handheld Games,E
325,UK Truck Simulator,PC,2010.0,Simulation,Excalibur Publishing,0.0,0.03,0.0,0.0,0.03,,,,,,
326,Sengoku Otome: Legend Battle,PSV,2016.0,Action,,0.0,0.0,0.03,0.0,0.03,,,,,,
327,Bookworm,GBA,2004.0,Puzzle,,0.02,0.01,0.0,0.0,0.03,62.0,5.0,,,PopCap,E
328,The King of Fighters: Maximum Impact - Maniax,XB,2005.0,Fighting,SNK,0.02,0.01,0.0,0.0,0.03,,,,,,
329,Combat Wings: The Great Battles of WWII,Wii,2012.0,Simulation,City Interactive,0.02,0.0,0.0,0.0,0.03,,,,,City Interactive,
330,Heroes of Hellas 2: Olympia,DS,2012.0,Puzzle,"Alawar Entertainment, Inc.",0.0,0.02,0.0,0.0,0.03,,,,,,
331,Magicka Collection,PC,2011.0,Adventure,,0.0,0.02,0.0,0.0,0.03,,,7.5,6.0,Paradox Interactive,T
332,Tube Slider,GC,2003.0,Racing,NEC Interchannel,0.02,0.0,0.0,0.0,0.02,62.0,21.0,tbd,,Nd Cube,E
333,Umineko no Naku Koro ni San: Shinjitsu to Gensou no Yasoukyoku,PS3,,Adventure,,0.0,0.0,0.02,0.0,0.02,,,,,,
334,Foto Showdown,DS,2010.0,Role-Playing,Alpha Unit Corporation,0.02,0.0,0.0,0.0,0.02,,,tbd,,Alpha Unit,E
335,Payout Poker & Casino,PSP,,Misc,,0.02,0.0,0.0,0.0,0.02,,,,,,
336,Wii de Asobu: Metroid Prime,Wii,,Shooter,Nintendo,0.0,0.0,0.02,0.0,0.02,,,,,,
337,Legacy of Ys: Books I & II,DS,2009.0,Role-Playing,XSEED Games,0.02,0.0,0.0,0.0,0.02,,,,,,
338,Blender Bros.,GBA,2002.0,Platform,Infogrames,0.02,0.01,0.0,0.0,0.02,73.0,10.0,tbd,,AI,E
339,Farm Frenzy 3,DS,2011.0,Strategy,,0.0,0.02,0.0,0.0,0.02,,,,,,
340,Ukiyo no Roushi,PSV,2015.0,Action,,0.0,0.0,0.02,0.0,0.02,,,,,,
341,Love Once: Mermaid's Tears,PS3,2011.0,Adventure,,0.0,0.0,0.02,0.0,0.02,,,,,,
342,Saint,Wii,1992.0,Shooter,Bandai,0.02,0.0,0.0,0.0,0.02,,,tbd,,Opera House,E10+
343,Steal Princess,DS,2009.0,Platform,Atlus,0.02,0.0,0.0,0.0,0.02,60.0,14.0,tbd,,Climax Entertainment,E10+
344,Dungeon Defenders,PC,2011.0,Role-Playing,,0.02,0.0,0.0,0.0,0.02,81.0,26.0,7.3,399.0,Trendy Entertainment,E10+
345,Cities in Motion Collection,PC,2011.0,Simulation,,0.0,0.02,0.0,0.0,0.02,,,tbd,,Paradox Interactive,E
346,Mario Tennis,3DS,2018.0,Sports,Nintendo,0.0,0.0,0.02,0.0,0.02,,,,,,
347,Vampire Mansion: Linda Hyde,DS,2011.0,Adventure,,0.0,0.02,0.0,0.0,0.02,,,,,Easy Interactive,E10+
348,Meikyuu Cross Blood: Reloaded,X360,2011.0,Action,,0.0,0.0,0.02,0.0,0.02,,,,,,
349,Nicktoons Collection: Game Boy Advance Video Volume 3,GBA,2005.0,Misc,,0.01,0.01,0.0,0.0,0.02,,,,,,
350,Disney Sports Football,GBA,2002.0,Sports,Konami,0.01,0.01,0.0,0.0,0.02,62.0,4.0,tbd,,Konami,E
351,Demolition Company: Gold Edition,PC,2011.0,Simulation,Giants Software,0.0,0.02,0.0,0.0,0.02,,,tbd,,Giants Software,
352,Airport Simulator,PC,2011.0,Simulation,,0.0,0.02,0.0,0.0,0.02,,,,,,
353,Runaway: A Twist of Fate,DS,,Adventure,Focus Home Interactive,0.0,0.02,0.0,0.0,0.02,66.0,5.0,,,Pendulo Studios,T
354,Yu-Gi-Oh! 5D's Wheelie Breakers (JP sales),Wii,,Racing,,0.0,0.0,0.02,0.0,0.02,,,,,,
355,UFO: Trilogy,PC,2007.0,Strategy,Cenega Publishing,0.0,0.02,0.0,0.0,0.02,,,,,,
356,Tantei Opera: Milky Holmes,PSP,2010.0,Adventure,,0.0,0.0,0.02,0.0,0.02,,,,,,
357,Cabela's Alaskan Adventure,PS2,2006.0,Sports,Activision,0.01,0.01,0.0,0.0,0.02,,,,,,
358,"Moshi, Kono Sekai ni Kami-sama ga Iru to suru Naraba.",PSV,2016.0,Adventure,Rejet,0.0,0.0,0.02,0.0,0.02,,,,,,
359,Thomas & Friends: Hero of the Rails,Wii,2010.0,Misc,,0.0,0.01,0.0,0.0,0.02,,,,,,
360,Writing and Speaking Beautiful Japanese DS,DS,,Misc,,0.0,0.0,0.02,0.0,0.02,,,,,,
361,Virtua Quest,PS2,2004.0,Role-Playing,Sega,0.01,0.01,0.0,0.0,0.02,53.0,17.0,7.6,5.0,Artificial Mind and Movement,T
362,Mystery Tales 2: The Spirit Mask,DS,2011.0,Puzzle,,0.0,0.02,0.0,0.0,0.02,,,,,Easy Interactive,E10+
363,Shonen Jump's Yu-Gi-Oh! GX Card Almanac,DS,,Misc,Konami Digital Entertainment,0.0,0.0,0.02,0.0,0.02,,,,,,
364,Without Warning,XB,2005.0,Shooter,Capcom,0.01,0.0,0.0,0.0,0.02,45.0,25.0,2,5.0,CiRCLE,M
365,Wild West Shootout,Wii,2010.0,Shooter,,0.01,0.01,0.0,0.0,0.02,,,tbd,,Funbox Media,T
366,The Dark Hills of Cherai,PC,2009.0,Puzzle,,0.0,0.01,0.0,0.0,0.02,,,tbd,,ChaYoWo Games,
367,PDC World Championship Darts 2008,DS,2008.0,Sports,Oxygen Interactive Software,0.01,0.0,0.0,0.0,0.02,,,,,,
368,Dinotopia: The Sunstone Odyssey,GC,2003.0,Action,TDK Mediactive,0.01,0.0,0.0,0.0,0.02,50.0,4.0,tbd,,Vicious Cycle,T
369,Jet Impulse,DS,2007.0,Simulation,Nintendo,0.0,0.0,0.02,0.0,0.02,,,,,,
370,Dream Dancer,DS,,Misc,,0.01,0.0,0.0,0.0,0.02,,,tbd,,"CyberPlanet Interactive Public Co., Ltd.",E
371,Dance! It's Your Stage,Wii,,Misc,DTP Entertainment,0.0,0.01,0.0,0.0,0.02,,,,,,
372,Football Manager 2007,X360,2006.0,Sports,Sega,0.0,0.01,0.0,0.0,0.01,,,,,,
373,Ferrari: The Race Experience,Wii,2010.0,Racing,System 3 Arcade Software,0.0,0.01,0.0,0.0,0.01,54.0,4.0,,,System 3,E
374,Red Stone DS: Akaki Ishi ni Michibikareshi Monotachi,DS,2011.0,Role-Playing,GameOn,0.0,0.0,0.01,0.0,0.01,,,,,,
375,Aquaman: Battle for Atlantis,XB,2003.0,Action,DC Comics,0.01,0.0,0.0,0.0,0.01,26.0,13.0,2.7,15.0,Lucky Chicken,T
376,Shitsuji ga Aruji o Erabu Toki,PSV,2016.0,Adventure,,0.0,0.0,0.01,0.0,0.01,,,,,,
377,War for the Overworld,PC,2015.0,Strategy,Brightrock Games,0.0,0.01,0.0,0.0,0.01,65.0,14.0,7.7,90.0,Subterranean Games,
378,WRC: FIA World Rally Championship,PC,2010.0,Racing,Black Bean Games,0.0,0.01,0.0,0.0,0.01,65.0,7.0,,,Black Bean Games,RP
379,Fuuraiki 3,PSV,2015.0,Action,Nippon Ichi Software,0.0,0.0,0.01,0.0,0.01,,,,,,
380,Dark Parables: The Exiled Prince,PC,2011.0,Puzzle,Big Fish Games,0.0,0.01,0.0,0.0,0.01,,,tbd,,Blue Tea Games,E10+
381,Hyakka Yakou,PSV,2015.0,Action,Idea Factory,0.0,0.0,0.01,0.0,0.01,,,,,,
382,Homeworld Remastered Collection,PC,,Strategy,,0.0,0.01,0.0,0.0,0.01,86.0,49.0,8.2,324.0,Gearbox Software,E10+
383,Shorts,DS,,Platform,Majesco Entertainment,0.01,0.0,0.0,0.0,0.01,,,tbd,,Artificial Mind and Movement,E10+
384,AKB1/48: Idol to Guam de Koishitara...,X360,,Misc,,0.0,0.0,0.01,0.0,0.01,,,,,,
385,Super Robot Monkey Team: Game Boy Advance Video Volume 1,GBA,2005.0,Misc,,0.01,0.0,0.0,0.0,0.01,,,,,,
386,Brothers in Arms: Furious 4,X360,,Shooter,,0.01,0.0,0.0,0.0,0.01,,,,,Gearbox Software,M
387,Dance with Devils,PSV,2016.0,Action,Rejet,0.0,0.0,0.01,0.0,0.01,,,,,,
388,Agarest Senki: Re-appearance,PS3,,Role-Playing,Idea Factory,0.0,0.0,0.01,0.0,0.01,,,,,,
389,PDC World Championship Darts 2008,PSP,2008.0,Sports,Oxygen Interactive,0.01,0.0,0.0,0.0,0.01,43.0,7.0,tbd,,Oxygen Interactive,E10+
390,Freaky Flyers,GC,2003.0,Racing,Midway Games,0.01,0.0,0.0,0.0,0.01,69.0,14.0,6.5,6.0,Midway,T
391,Inversion,PC,2012.0,Shooter,Namco Bandai Games,0.01,0.0,0.0,0.0,0.01,59.0,6.0,6.7,107.0,Saber Interactive,M
392,Hakuouki: Shinsengumi Kitan,PS3,,Adventure,,0.01,0.0,0.0,0.0,0.01,,,,,,
393,Virtua Quest,GC,2004.0,Role-Playing,Sega,0.01,0.0,0.0,0.0,0.01,55.0,19.0,5.5,12.0,Artificial Mind and Movement,T
394,"Horse Life 4: My Horse, My Friend, My Champion",3DS,2015.0,Action,,0.0,0.01,0.0,0.0,0.01,,,,,,
395,The Treasures of Mystery Island 3 Pack - Save Mystery Island!,PC,2011.0,Puzzle,,0.01,0.0,0.0,0.0,0.01,,,,,,
396,Real Crimes: The Unicorn Killer,DS,2011.0,Puzzle,Big Fish Games,0.0,0.01,0.0,0.0,0.01,,,,,,
397,Driving Simulator 2011,PC,2011.0,Racing,,0.0,0.01,0.0,0.0,0.01,,,,,,
398,STORM: Frontline Nation,PC,2011.0,Strategy,Colossal Studios,0.0,0.01,0.0,0.0,0.01,60.0,12.0,7.2,13.0,SimBin,E10+
399,Strawberry Nauts,PSV,2016.0,Adventure,ENTERGRAM,0.0,0.0,0.01,0.0,0.01,,,,,,
